Listened Artist,Recommended Artist,Score
Air,R.E.M.,1.3858805
Radiohead,Björk,1.0416957
Placebo,The Strokes,1.0289159
Keane,The White Stripes,1.017679
Muse,Jimi Hendrix,1.0083123
The Tiger Lillies,Franz Ferdinand,1.0063943
Bright Eyes,The Kooks,0.9787189
Beirut,Coldplay,0.9766475
Tom Waits,Vampire Weekend,0.97088796
System of a Down,Pixies,0.9591032
Arcade Fire,The Cure,0.953874
Gogol Bordello,David Bowie,0.952447
Ленинград,The Smashing Pumpkins,0.93409646
CAKE,Incubus,0.9245404
Blur,Gorillaz,0.9202688
Damien Rice,Klaxons,0.9045391
Andrew Bird,Mando Diao,0.88165677
Beck,Rufus Wainwright,0.8678611
Arctic Monkeys,The Smiths,0.8396033
Babyshambles,U2,0.83645403
