Listened Artist,Recommended Artist,Score
DIR EN GREY,SHINee,1.1146407
BIG BANG,\N{CJK UNIFIED IDEOGRAPH-5B89}\N{CJK UNIFIED IDEOGRAPH-5BA4}\N{CJK UNIFIED IDEOGRAPH-5948}\N{CJK UNIFIED IDEOGRAPH-7F8E}\N{CJK UNIFIED IDEOGRAPH-6075},1.0669175
\N{HANGUL SYLLABLE GIM}\N{HANGUL SYLLABLE JONG}\N{HANGUL SYLLABLE GUG},Brown Eyed Girls,0.9849698
2PM,\N{HANGUL SYLLABLE DONG}\N{HANGUL SYLLABLE BANG}\N{HANGUL SYLLABLE SIN}\N{HANGUL SYLLABLE GI},0.9669334
Katatonia,Rammstein,0.87110794
Skillet,Clazziquai Project,0.8705396
\N{KATAKANA LETTER MO}\N{KATAKANA LETTER N}\N{KATAKANA LETTER GO}\N{KATAKANA LETTER RU}800,Five Finger Death Punch,0.86738884
Jay Park,Damien Rice,0.86700904
\N{CJK UNIFIED IDEOGRAPH-5B87}\N{CJK UNIFIED IDEOGRAPH-591A}\N{CJK UNIFIED IDEOGRAPH-7530}\N{KATAKANA LETTER HI}\N{KATAKANA LETTER KA}\N{KATAKANA LETTER RU},Apocalyptica,0.8608842
\N{CJK UNIFIED IDEOGRAPH-6D5C}\N{CJK UNIFIED IDEOGRAPH-5D0E}\N{HIRAGANA LETTER A}\N{HIRAGANA LETTER YU}\N{HIRAGANA LETTER MI},\N{HANGUL SYLLABLE TI}\N{HANGUL SYLLABLE A}\N{HANGUL SYLLABLE RA},0.8597877
