Listened Artist,Recommended Artist,Score
DIR EN GREY,Bj\N{LATIN SMALL LETTER O WITH DIAERESIS}rk,1.0994902
BIG BANG,Tarja,0.833614
\N{HANGUL SYLLABLE GIM}\N{HANGUL SYLLABLE JONG}\N{HANGUL SYLLABLE GUG},Green Day,0.7916395
2PM,Within Temptation,0.78354394
Katatonia,Lily Allen,0.77815634
Skillet,Antonio Vivaldi,0.7741565
\N{KATAKANA LETTER MO}\N{KATAKANA LETTER N}\N{KATAKANA LETTER GO}\N{KATAKANA LETTER RU}800,Little Boots,0.7363245
Jay Park,the GazettE,0.72557086
\N{CJK UNIFIED IDEOGRAPH-5B87}\N{CJK UNIFIED IDEOGRAPH-591A}\N{CJK UNIFIED IDEOGRAPH-7530}\N{KATAKANA LETTER HI}\N{KATAKANA LETTER KA}\N{KATAKANA LETTER RU},The John Butler Trio,0.7145791
\N{CJK UNIFIED IDEOGRAPH-6D5C}\N{CJK UNIFIED IDEOGRAPH-5D0E}\N{HIRAGANA LETTER A}\N{HIRAGANA LETTER YU}\N{HIRAGANA LETTER MI},Wonder Girls,0.7051658
