Listened Artist,Recommended Artist,Score
Air,Franz Ferdinand,1.2232425
Radiohead,The Smashing Pumpkins,1.1837304
Placebo,\N{CJK UNIFIED IDEOGRAPH-690D}\N{CJK UNIFIED IDEOGRAPH-677E}\N{CJK UNIFIED IDEOGRAPH-4F38}\N{CJK UNIFIED IDEOGRAPH-592B},1.1648567
Keane,Iron & Wine,1.1342229
Muse,Cat Power,1.1315556
The Tiger Lillies,Kings of Convenience,1.1040535
Bright Eyes,The National,1.0885992
Beirut,Elliott Smith,1.067181
Tom Waits,Yann Tiersen,1.058884
System of a Down,Yeah Yeah Yeahs,1.05849
