Normal,Randomized
3,2
4,8
5,2
2,6
4,4
10,8
7,2
7,4
9,5
6,4
5,6
6,8
4,3
6,4
9,3
12,5
4,6
6,3
3,3
3,3
4,3
7,9
3,8
2,3
4,2
8,5
5,4
8,1
4,3
5,6
5,2
6,4
9,4
4,7
4,1
9,6
3,7
1,1
4,4
7,3
7,7
6,8
8,6
6,7
5,4
4,5
11,3
9,9
4,1
3,3
5,4
3,2
8,6
8,7
3,6
6,6
6,2
5,4
8,7
9,9
2,2
13,7
4,8
10,4
6,4
9,4
6,3
7,5
4,1
8,7
6,4
9,6
5,6
6,6
8,10
1,6
4,6
2,4
9,7
9,8
4,8
5,2
7,6
12,4
6,5
5,4
9,5
8,10
4,5
5,4
7,7
6,8
2,2
5,3
4,7
2,3
7,3
9,5
8,2
18,5
