Normal,Randomized
48,33
157,34
28,59
61,44
55,76
37,39
89,41
32,55
37,48
29,78
29,24
35,49
38,35
96,49
38,73
49,38
50,48
43,27
44,33
49,48
50,18
33,58
21,88
65,57
35,24
62,39
83,69
40,54
30,59
35,34
53,49
36,50
38,42
56,81
68,45
54,53
53,42
38,102
50,43
89,58
111,48
34,37
47,37
76,71
30,35
68,43
43,32
37,25
43,53
75,33
117,47
25,55
37,49
85,54
33,58
30,31
114,58
39,52
35,21
96,51
25,65
32,51
46,47
33,52
38,37
43,44
39,34
42,43
53,38
44,31
62,38
50,53
33,53
50,42
57,32
44,24
34,78
75,48
42,62
73,34
81,46
32,51
56,61
42,40
47,61
38,35
34,42
35,38
54,36
40,47
48,31
59,29
40,69
65,89
51,52
43,120
51,54
42,74
39,31
69,68
