Normal,Randomized
3,5
9,6
5,4
5,4
2,7
10,10
13,9
3,5
7,5
7,5
4,7
4,2
14,6
4,8
8,8
7,9
4,6
6,9
7,7
6,10
9,3
6,3
4,10
3,3
5,7
4,9
8,5
8,5
6,6
4,9
7,9
7,4
1,2
6,4
6,8
4,6
8,7
4,9
2,5
7,6
4,8
3,6
3,4
7,4
4,2
6,6
5,6
10,7
7,7
1,5
8,5
2,4
4,5
4,6
4,7
13,8
8,4
12,5
11,5
6,5
3,6
9,2
4,7
3,4
2,6
7,8
9,5
5,10
4,6
6,4
12,7
7,8
12,10
4,8
3,12
5,3
2,9
13,4
4,7
4,4
4,5
5,3
8,10
7,10
6,8
7,4
5,5
11,8
9,9
9,6
6,5
12,8
5,2
5,4
3,4
9,4
6,4
8,7
7,8
5,7
